"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"8892","Calonectris edwardsii","Calonectris edwardsii",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,"NT",535,"Aquatic predator","Calonectris",546.25,4,"Aquatic predator",535,"Aquatic predator"
"8893","Setophaga subita","Setophaga subita",0,2,0,1,0,0,0,0,0,1,1,0,1,0,1,0,"VU",7.6,"Invertivore","Setophaga",9.30833333333333,36,"Invertivore",7.6,"Invertivore"
"8894","Setophaga delicata","Setophaga delicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",7.4,"Invertivore","Setophaga",9.30833333333333,36,"Invertivore",7.4,"Invertivore"
"8895","Guyramemua affinis","Guyramemua affinis",0,0,0,2,0,2,0,0,0,0,2,0,1,2,0,0,"NT",22.8,"Invertivore","Guyramemua",22.8,1,"Invertivore",22.8,"Invertivore"
"8896","Myiopagis olallai","Myiopagis olallai",0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,"LC",12.1,"Invertivore","Myiopagis",11.8222222222222,9,"Invertivore",12.1,"Invertivore"
"8897","Zimmerius villarejoi","Zimmerius villarejoi",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"LC",6.1,"Frugivore","Zimmerius",9.24615384615385,13,"Invertivore",6.1,"Frugivore"
"8898","Lipaugus weberi","Lipaugus weberi",0,2,0,2,2,0,0,0,0,0,2,0,2,2,0,0,"CR",72.1,"Frugivore","Lipaugus",88.4,9,"Frugivore",72.1,"Frugivore"
"8899","Gyps tenuirostris","Gyps tenuirostris",0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,"CR",5515,"Scavenger","Gyps",6707.375,8,"Scavenger",5515,"Scavenger"
"8900","Spilornis klossi","Spilornis klossi",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"EN",450,"Vertivore","Spilornis",658.4,6,"Vertivore",450,"Vertivore"
"8901","Capito wallacei","Capito wallacei",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"VU",69.5,"Frugivore","Capito",61.6454545454545,11,"Frugivore",69.5,"Frugivore"
"8902","Herpsilochmus pileatus","Herpsilochmus pileatus",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"NT",8.9,"Invertivore","Herpsilochmus",10.5222222222222,18,"Invertivore",8.9,"Invertivore"
"8903","Ianthocincla konkakinhensis","Garrulax konkakinhensis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"VU",76.7,"Invertivore","Ianthocincla",77.8222222222222,9,"Invertivore",76.7,"Invertivore"
